step	log_loss
0	0.6557646632194519
1	0.5558976173400879
2	0.48828400135040284
3	0.4306077027320862
4	0.4008613407611847
5	0.34787497758865354
6	0.3427171277999878
7	0.33490052580833435
8	0.3119092160463333
9	0.29488151252269745
10	0.2976620399951935
11	0.27575631260871886
12	0.28140848577022554
13	0.26964744329452517
14	0.26377391278743745
15	0.27025605738162994
16	0.2721698421239853
